field_1,CN,PLT_CN,PREV_SIT_C,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DA,CREATED_IN,MODIFIED_B,MODIFIED_D,MODIFIED_I,CYCLE,SUBCYCLE,AGECHKCD_R,AGE_DETERM,CCLCD_RMRS,DAMAGE_AGE,SIBASE_AGE,SITETRCD_R,SITE_AGE_T,SITE_TREE_,SITREE_EQU,TREECLCD_R,TREE_ACT_R,YEAR_AGE_T,LAT,LON,wc2.0_bio_
"469","205063224010854","20279593010478",NA,"2003","12","1","109","29","1","1","111",13.6,"56","18","1","79","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.012974,-81.576957,20.59703
"470","205063228010854","20279593010478",NA,"2003","12","1","109","29","2","1","111",13.6,"56","18","1","79","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.012974,-81.576957,20.59703
"471","205063226010854","20279774010478",NA,"2003","12","1","109","36","1","1","111",20.2,"84","78","1","76","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.139631,-81.388649,20.53740
"472","205063229010854","20279774010478",NA,"2003","12","1","109","36","2","1","111",20.2,"84","78","1","76","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.139631,-81.388649,20.53740
"473","205063222010854","20279704010478",NA,"2003","12","1","109","43","1","1","111",8.1,"64","20","1","85","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.698513,-81.37929,20.74649
"474","205063227010854","20279868010478",NA,"2003","12","1","109","47","2","1","111",10.9,"62","19","1","84","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.083814,-81.524557,20.59703
"475","205063225010854","20280039010478",NA,"2003","12","1","109","52","1","1","111",14.5,"90","43","1","92","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.854632,-81.514426,20.65798
"476","205063257010854","20282190010478",NA,"2003","12","1","121","23","2","1","111",6.8,"40","15","1","66","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.251186,-83.079855,20.11472
"477","205063254010854","20282483010478",NA,"2003","12","1","121","25","1","1","121",9.6,"58","35","1","62","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.352176,-83.181294,19.87279
"478","205063258010854","20282455010478",NA,"2003","12","1","121","27","2","1","111",9.4,"60","17","1","86","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.349036,-83.034831,19.84455
"479","205063256010854","20282139010478",NA,"2003","12","1","121","41","1","1","131",23.5,"111","59","2","105","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.181326,-83.237481,19.90672
"480","205063255010854","20282102010478",NA,"2003","12","1","121","42","1","1","121",9.6,"64","25","1","80","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.267476,-83.234205,19.90672
"481","205063263010854","20283298010478",NA,"2003","12","1","123","13","1","1","111",12.8,"72","38","1","76","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.785643,-83.54299,20.18035
"482","205063264010854","20282912010478",NA,"2003","12","1","123","26","1","1","121",14.2,"68","83","1","58","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.945527,-83.606247,20.08350
"483","205063260010854","20283330010478",NA,"2003","12","1","123","29","1","1","111",7.9,"55","15","1","84","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.249992,-83.65036,19.64735
"484","205063265010854","20283117010478",NA,"2003","12","1","123","30","1","1","128",8.5,"49","27","3","59","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.92617,-83.382708,19.96546
"485","205063259010854","20282733010478",NA,"2003","12","1","123","42","1","1","111",6.7,"49","16","1","75","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.03474,-83.72495,19.86198
"486","205063262010854","20283399010478",NA,"2003","12","1","123","68","1","1","111",12.3,"46","26","1","58","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.248811,-83.516868,19.64735
"487","205063267010854","20283399010478",NA,"2003","12","1","123","68","2","1","111",12.3,"46","26","1","58","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.248811,-83.516868,19.64735
"488","205063268010854","20283399010478",NA,"2003","12","1","123","68","3","1","111",12.3,"46","26","1","58","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.248811,-83.516868,19.64735
"489","205063266010854","20283488010478",NA,"2003","12","1","123","76","2","1","111",8,"50","18","1","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.176771,-83.726829,19.65990
"490","205063261010854","140549575010478",NA,"2003","12","1","123","146","1","1","111",12,"54","16","1","81","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.026307,-83.595459,19.99105
"491","205063270010854","20283763010478",NA,"2003","12","1","125","2","1","1","111",10.1,"69","21","1","88","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.03329,-82.439154,19.97660
"492","205063269010854","20283629010478",NA,"2003","12","1","125","5","1","1","111",8.5,"69","21","1","88","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.135919,-82.217306,20.00339
"493","205063273010854","20283629010478",NA,"2003","12","1","125","5","2","1","111",8.5,"69","21","1","88","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.135919,-82.217306,20.00339
"494","205063272010854","20283568010478",NA,"2003","12","1","125","7","1","1","111",13.9,"65","71","1","59","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.090322,-82.425695,19.97660
"495","205063271010854","20283707010478",NA,"2003","12","1","125","15","1","1","111",13.4,"73","42","1","75","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.015184,-82.294993,20.00339
"496","205063274010854","20283707010478",NA,"2003","12","1","125","15","2","1","111",13.4,"73","42","1","75","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.015184,-82.294993,20.00339
"497","205063277010854","20253426010478",NA,"2003","12","1","127","13","1","1","111",11.7,"46","15","1","74","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.387774,-81.092783,21.22219
"498","205063276010854","20253489010478",NA,"2003","12","1","127","16","1","1","111",11.1,"57","42","1","59","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.832523,-81.00626,21.67226
"499","205063282010854","20253489010478",NA,"2003","12","1","127","16","2","1","111",11.1,"57","42","1","59","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.832523,-81.00626,21.67226
"500","205063281010854","20253590010478",NA,"2003","12","1","127","24","1","1","611",13.3,"80","40","34","84","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.819871,-80.888524,21.65649
"501","205063279010854","20253822010478",NA,"2003","12","1","127","56","1","1","111",15.8,"76","70","1","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.255165,-81.413546,21.11748
"502","205063280010854","20253360010478",NA,"2003","12","1","127","70","1","1","111",16.9,"75","71","1","68","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.90868,-81.116329,21.45502
"503","205063284010854","20253360010478",NA,"2003","12","1","127","70","2","1","111",16.9,"75","71","1","68","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.90868,-81.116329,21.45502
"504","205063275010854","20253320010478",NA,"2003","12","1","127","74","1","1","107",14.5,"60","21","3","102","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.835173,-81.17696,21.60555
"505","205063278010854","20253712010478",NA,"2003","12","1","127","80","1","1","111",14.3,"74","66","1","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.148735,-81.159743,21.39328
"506","205063283010854","20253712010478",NA,"2003","12","1","127","80","2","1","111",14.3,"74","66","1","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.148735,-81.159743,21.39328
"507","205062973010854","20337903010478",NA,"2003","12","2","5","29","1","1","111",9.4,"53","22","1","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.995211,-85.454383,19.92319
"508","205062970010854","20337262010478",NA,"2003","12","2","5","38","1","1","107",6.7,"45","17","3","93","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.382146,-85.911583,19.42145
"509","205062974010854","20338032010478",NA,"2003","12","2","5","42","1","1","128",13.7,"72","64","3","67","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.55696,-85.431001,19.08266
"510","205062972010854","20337969010478",NA,"2003","12","2","5","57","1","1","111",8.6,"48","53","1","46","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.369842,-85.773947,19.36625
"511","205062971010854","20337440010478",NA,"2003","12","2","5","58","1","1","111",6.4,"55","20","1","75","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.301726,-85.790684,19.88619
"512","205062986010854","20309389010478",NA,"2003","12","2","13","10","1","1","827",11.8,"61","37","28","68","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.389014,-85.153379,19.46373
"513","205062987010854","20309389010478",NA,"2003","12","2","13","10","1","2","111",12.6,"76","36","1","81","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.389014,-85.153379,19.46373
"514","205062983010854","20309529010478",NA,"2003","12","2","13","12","1","1","111",16.3,"95","54","1","92","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.303601,-85.090639,19.60155
"515","205062984010854","20309346010478",NA,"2003","12","2","13","23","1","1","111",17.1,"77","67","1","71","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.237666,-85.231698,19.53666
"516","205062982010854","20309613010478",NA,"2003","12","2","13","26","1","1","111",12.9,"84","47","1","84","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.468198,-85.029872,19.46373
"517","205062985010854","20309546010478",NA,"2003","12","2","13","36","1","1","611",19.8,"120","50","34","114","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.411111,-85.033576,19.46373
"518","205063035010854","20318063010478",NA,"2003","12","2","33","7","1","1","111",14.3,"92","47","1","92","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.633699,-87.38649,19.26444
"519","205063033010854","20318433010478",NA,"2003","12","2","33","38","1","1","111",9.3,"61","27","1","73","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.936726,-87.329611,18.94457
"520","205063036010854","20318433010478",NA,"2003","12","2","33","38","2","2","121",15.4,"81","42","1","82","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.936726,-87.329611,18.94457
"521","205063034010854","20317959010478",NA,"2003","12","2","33","59","1","1","111",12.2,"80","47","1","80","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.959249,-87.587523,18.78072
"522","205063046010854","20319328010478",NA,"2003","12","2","37","1","1","1","111",9.9,"60","24","1","75","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.856467,-84.955315,19.83676
"523","205063044010854","20319867010478",NA,"2003","12","2","37","20","1","1","111",7,"43","23","1","57","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.781724,-84.839391,20.06894
"524","205063047010854","20319452010478",NA,"2003","12","2","37","22","1","1","111",12.2,"57","27","1","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.841193,-84.809339,19.85023
"525","205063050010854","20319225010478",NA,"2003","12","2","37","25","1","2","111",15.5,"75","120","1","63","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.943369,-84.933603,19.83676
"526","205063052010854","20319225010478",NA,"2003","12","2","37","25","2","1","111",12.2,"73","66","1","68","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.943369,-84.933603,19.83676
"527","205063041010854","20319554010478",NA,"2003","12","2","37","26","1","1","107",5.6,"39","20","3","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.952737,-84.479602,19.98750
"528","205063051010854","20319554010478",NA,"2003","12","2","37","26","2","1","107",5.6,"39","20","3","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.952737,-84.479602,19.98750
"529","205063045010854","20319162010478",NA,"2003","12","2","37","36","1","1","111",8.6,"58","17","1","83","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.73067,-85.133644,20.09930
"530","205063043010854","20319534010478",NA,"2003","12","2","37","41","1","1","111",5.9,"38","17","1","60","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.937359,-84.635256,19.88219
"531","205063049010854","20319534010478",NA,"2003","12","2","37","41","1","2","111",6.1,"34","14","1","61","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.937359,-84.635256,19.88219
"532","205063042010854","20319495010478",NA,"2003","12","2","37","48","1","1","107",11.5,"57","44","3","59","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.89746,-84.618687,19.88219
"533","205063048010854","20319495010478",NA,"2003","12","2","37","48","1","2","107",10.2,"39","19","3","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.89746,-84.618687,19.88219
"534","205063055010854","20320048010478",NA,"2003","12","2","39","5","1","1","131",5.8,"41","15","2","70","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.602867,-84.856406,19.26324
"535","205063053010854","20320684010478",NA,"2003","12","2","39","11","1","1","107",7.9,"47","19","3","87","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.483169,-84.725742,19.39444
"536","205063058010854","20320684010478",NA,"2003","12","2","39","11","2","1","107",7.9,"47","19","3","87","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.483169,-84.725742,19.39444
"537","205063056010854","20320357010478",NA,"2003","12","2","39","13","1","1","827",14.1,"86","52","28","84","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.63448,-84.387573,19.31238
"538","205063054010854","20320310010478",NA,"2003","12","2","39","14","1","1","111",10,"62","23","1","78","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.628013,-84.529443,19.24317
"539","205063059010854","20320310010478",NA,"2003","12","2","39","14","2","1","111",10,"62","23","1","78","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.628013,-84.529443,19.24317
"540","205063057010854","20320435010478",NA,"2003","12","2","39","33","1","2","131",15.2,"82","83","2","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.559617,-84.39189,19.31238
"541","205063060010854","20320435010478",NA,"2003","12","2","39","33","2","1","131",7.3,"47","19","2","69","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.559617,-84.39189,19.31238
"542","205063070010854","20321937010478",NA,"2003","12","2","45","7","1","1","111",9.7,"57","33","1","64","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.127169,-85.250613,19.69691
"543","205063069010854","20321961010478",NA,"2003","12","2","45","9","1","1","111",8.8,"65","18","1","89","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.877626,-85.234685,19.84678
"544","205063068010854","20321852010478",NA,"2003","12","2","45","10","1","1","111",8.6,"53","73","1","47","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.082626,-85.321849,19.69691
"545","205063067010854","20322694010478",NA,"2003","12","2","45","13","1","1","111",7.5,"51","15","1","80","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.927769,-85.211508,19.84678
"546","205063071010854","20322119010478",NA,"2003","12","2","45","34","1","1","611",13.8,"76","42","34","78","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.099262,-85.169475,19.69691
"547","205063086010854","20265174010478",NA,"2003","12","2","59","20","1","1","111",7,"57","17","1","82","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.866295,-85.890815,18.95274
"548","205063088010854","20265174010478",NA,"2003","12","2","59","20","2","1","111",7,"57","17","1","82","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.866295,-85.890815,18.95274
"549","205063087010854","20265233010478",NA,"2003","12","2","59","21","1","1","111",10.5,"56","28","1","67","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.924624,-86.025698,18.80516
"550","205063091010854","20265848010478",NA,"2003","12","2","63","2","1","1","111",9.5,"39","15","1","65","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.996791,-85.417018,19.04536
"551","205063094010854","20265742010478",NA,"2003","12","2","63","19","1","1","131",7.7,"64","17","2","100","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.635646,-85.104,19.30009
"552","205063098010854","20266280010478",NA,"2003","12","2","63","22","2","1","131",8.4,"71","21","2","98","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.851131,-85.461228,19.04536
"553","205063092010854","20265887010478",NA,"2003","12","2","63","26","1","1","131",6.6,"55","18","2","83","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.821591,-85.359294,19.09890
"554","205063090010854","20266094010478",NA,"2003","12","2","63","28","1","1","111",8.7,"66","24","1","81","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.863857,-85.142061,19.18301
"555","205063097010854","20266340010478",NA,"2003","12","2","63","41","1","1","131",11.2,"72","47","2","72","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.644318,-85.228786,19.20182
"556","205063093010854","20265971010478",NA,"2003","12","2","63","43","1","1","131",7,"47","21","2","65","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.70238,-85.060205,19.22300
"557","205063096010854","20266211010478",NA,"2003","12","2","63","50","1","1","131",9.8,"61","21","2","84","50",NA,NA,NA,"1",NA,"1",NA,2009-12-07,"10854",NA,2017-03-08,"489998","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.978298,-85.377592,19.04536
