field_1,CN,PLT_CN,PREV_SIT_C,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DA,CREATED_IN,MODIFIED_B,MODIFIED_D,MODIFIED_I,CYCLE,SUBCYCLE,AGECHKCD_R,AGE_DETERM,CCLCD_RMRS,DAMAGE_AGE,SIBASE_AGE,SITETRCD_R,SITE_AGE_T,SITE_TREE_,SITREE_EQU,TREECLCD_R,TREE_ACT_R,YEAR_AGE_T,LAT,LON,AVG_TEMP_bioclim,SOIL_MOIS,FIA_avg_soil_c,FIA_avg_soil_n,FIA_CN_RATIO,SOC_ORNL_kgperm2,N_ORNL_gperm2,Soilgrids_N_0-5,Soilgrids_N_5-15,Soilgrids_C_0-5,Soilgrids_C_5-15
1192,2.05E+14,2.02E+13,NA,2006,12,2,73,48,1,1,131,17.4,82,39,2,87,50,2,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.552514,-84.092871,19.36379,237.524,NA,NA,#VALUE!,7.234200001,796.36499,507,119,341,163
1193,2.05E+14,2.02E+13,NA,2006,12,2,73,51,1,1,131,12.8,71,20,2,101,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.54815,-84.359893,19.31238,237.524,NA,NA,#VALUE!,7.234200001,796.36499,911,240,424,148
1194,2.05E+14,2.02E+13,NA,2006,12,2,73,52,1,1,131,7.7,69,39,2,73,50,2,10,18.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.404753,-84.094518,19.51414,237.524,NA,NA,#VALUE!,7.936860085,638.43597,1109,352,430,197
1195,2.05E+14,2.02E+13,NA,2006,12,2,73,52,2,1,131,7.7,69,39,2,73,50,2,10,18.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.404753,-84.094518,19.51414,237.524,NA,NA,#VALUE!,7.936860085,638.43597,1109,352,430,197
1196,2.05E+14,2.02E+13,NA,2006,12,2,73,54,2,1,131,13.1,60,20,2,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.642824,-84.17285,19.41432,237.524,NA,NA,#VALUE!,7.234200001,796.36499,636,146,337,162
1197,2.05E+14,2.02E+13,NA,2006,12,2,73,55,1,1,131,9.4,64,24,2,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.496807,-84.230939,19.71185,237.524,NA,NA,#VALUE!,7.234200001,796.36499,567,167,433,220
1198,2.05E+14,9.08E+13,NA,2006,12,2,77,56,1,1,111,8.8,56,16,1,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.083746,-84.654174,19.72533,253.076,NA,NA,#VALUE!,23.9673996,638.43597,1085,427,784,196
1199,2.05E+14,9.08E+13,NA,2006,12,2,77,59,2,1,111,7.2,55,61,1,51,50,4,233,2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.143739,-84.80621,19.67214,253.076,NA,NA,#VALUE!,23.9673996,1898.18994,1348,605,751,197
1200,2.05E+14,9.08E+13,NA,2006,12,2,77,62,1,1,111,8.3,62,27,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.386946,-84.71481,19.39444,253.076,NA,NA,#VALUE!,7.936860085,638.43597,903,217,490,141
1201,2.05E+14,9.08E+13,NA,2006,12,2,77,62,2,1,111,8.3,62,27,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.386946,-84.71481,19.39444,253.076,NA,NA,#VALUE!,7.936860085,638.43597,903,217,490,141
1202,2.05E+14,9.08E+13,NA,2006,12,2,77,64,1,1,111,8.3,55,21,1,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.056657,-84.988688,19.69373,321.773,NA,NA,#VALUE!,23.9673996,1898.18994,1224,506,565,196
1203,2.05E+14,9.08E+13,NA,2006,12,2,77,64,2,1,111,8.3,55,21,1,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.056657,-84.988688,19.69373,321.773,NA,NA,#VALUE!,23.9673996,1898.18994,1224,506,565,196
1204,2.05E+14,9.08E+13,NA,2006,12,2,77,65,1,1,131,7.6,47,16,2,77,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.479983,-84.809943,19.39444,237.524,NA,NA,#VALUE!,7.936860085,638.43597,984,200,559,135
1205,2.05E+14,9.08E+13,NA,2006,12,2,77,66,1,1,121,6.2,33,17,1,52,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.449702,-84.963732,19.36969,237.524,NA,NA,#VALUE!,7.234200001,796.36499,918,185,398,123
1206,2.05E+14,9.08E+13,NA,2006,12,2,77,68,1,1,121,13.1,80,66,1,71,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.146446,-85.083369,19.75617,237.524,NA,NA,#VALUE!,23.9673996,1898.18994,1167,507,557,171
1207,2.05E+14,9.08E+13,NA,2006,12,2,77,70,2,1,121,13.8,64,101,1,53,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.093735,-84.818183,19.67214,321.773,NA,NA,#VALUE!,23.9673996,1898.18994,1157,468,552,215
1208,2.05E+14,2.02E+13,NA,2006,12,2,91,73,1,1,121,12.4,57,51,1,54,50,2,124,18.9,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.660213,-86.616082,19.19482,253.076,NA,NA,#VALUE!,7.936860085,638.43597,607,185,364,160
1209,2.05E+14,9.08E+13,NA,2006,12,2,91,74,1,1,121,10.1,57,30,1,65,50,2,106,20.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.827932,-86.398274,18.94182,237.524,NA,NA,#VALUE!,7.234200001,796.36499,571,237,547,166
1210,2.05E+14,9.08E+13,NA,2006,12,2,91,74,2,2,121,12.7,58,52,1,55,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.827932,-86.398274,18.94182,237.524,NA,NA,#VALUE!,7.234200001,796.36499,571,237,547,166
1211,2.05E+14,9.08E+13,NA,2006,12,2,91,74,3,2,121,12.7,58,52,1,55,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.827932,-86.398274,18.94182,237.524,NA,NA,#VALUE!,7.234200001,796.36499,571,237,547,166
1212,2.05E+14,2.02E+13,NA,2006,12,2,91,77,1,1,121,8,56,38,1,58,50,3,129,23.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.499431,-86.674514,19.56049,253.076,0.405,0.0015,270,7.936860085,638.43597,831,312,891,201
1213,2.05E+14,2.02E+13,NA,2006,12,2,91,80,1,1,121,15,55,54,1,51,50,1,352,9.8,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.820101,-86.580332,19.02168,237.524,0.44,0.02,22,7.234200001,796.36499,412,199,337,120
1214,2.05E+14,9.08E+13,NA,2006,12,2,91,81,2,1,111,9.5,72,38,1,76,50,2,276,11.2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.821702,-86.707583,18.99092,237.524,NA,NA,#VALUE!,7.234200001,796.36499,550,156,387,108
1215,2.05E+14,2.02E+13,NA,2006,12,2,91,83,1,2,121,9.7,49,41,1,50,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.514458,-86.515664,19.19482,253.076,NA,NA,#VALUE!,7.936860085,638.43597,682,219,491,196
1216,2.05E+14,2.02E+13,NA,2006,12,2,91,83,2,1,107,7.7,41,26,3,58,50,4,43,12.1,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.514458,-86.515664,19.19482,253.076,NA,NA,#VALUE!,7.936860085,638.43597,682,219,491,196
1217,2.05E+14,9.08E+13,NA,2006,12,2,91,85,1,1,121,12.6,93,52,1,88,50,3,11,16,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.979559,-86.657691,18.78581,237.524,NA,NA,#VALUE!,7.234200001,796.36499,515,155,545,162
1218,2.05E+14,2.02E+13,NA,2006,12,2,91,87,1,1,121,9.8,55,66,1,49,50,1,216,15.3,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.58127,-86.494207,19.1684,253.076,NA,NA,#VALUE!,7.936860085,638.43597,529,262,454,146
1219,2.05E+14,2.02E+13,NA,2006,12,2,91,87,2,1,121,9.8,55,66,1,49,50,1,216,15.3,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.58127,-86.494207,19.1684,253.076,NA,NA,#VALUE!,7.936860085,638.43597,529,262,454,146
1220,2.05E+14,9.08E+13,NA,2006,12,2,91,88,1,1,131,14.9,85,37,2,92,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.967221,-86.510428,18.78581,237.524,NA,NA,#VALUE!,7.234200001,796.36499,469,145,419,129
1221,2.05E+14,9.08E+13,NA,2006,12,2,91,92,1,1,121,15.7,79,54,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.910946,-86.665851,18.78581,237.524,NA,NA,#VALUE!,7.234200001,796.36499,497,152,417,158
1222,2.05E+14,2.02E+13,NA,2006,12,2,113,72,1,1,121,15.7,82,58,1,75,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.945337,-86.956497,18.78608,237.524,NA,NA,#VALUE!,7.234200001,796.36499,607,233,613,180
1223,2.05E+14,2.02E+13,NA,2006,12,2,113,73,1,1,121,10.1,52,50,1,50,50,2,171,21.3,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.511252,-86.809546,19.36376,253.076,NA,NA,#VALUE!,7.936860085,638.43597,810,221,322,211
1224,2.05E+14,2.02E+13,NA,2006,12,2,113,75,1,1,131,7.1,46,13,2,87,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.718927,-87.142887,19.07967,253.076,NA,NA,#VALUE!,7.936860085,638.43597,764,337,851,201
1225,2.05E+14,2.02E+13,NA,2006,12,2,113,76,1,1,121,10.1,59,39,1,61,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.809434,-86.868554,19.04012,237.524,NA,NA,#VALUE!,7.234200001,796.36499,496,246,516,142
1226,2.05E+14,2.02E+13,NA,2006,12,2,113,77,1,1,121,17.1,85,63,1,77,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.864893,-86.946932,18.78608,237.524,NA,NA,#VALUE!,7.234200001,796.36499,696,327,707,196
1227,2.05E+14,2.02E+13,NA,2006,12,2,113,79,1,1,121,16.6,85,75,1,74,50,4,303,11.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.965967,-86.808324,18.79573,237.524,NA,NA,#VALUE!,7.234200001,796.36499,434,106,323,154
1228,2.05E+14,2.02E+13,NA,2006,12,2,113,80,1,1,131,7.9,65,43,2,67,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.929282,-87.225903,18.94457,237.524,NA,NA,#VALUE!,7.234200001,796.36499,490,245,452,124
1229,2.05E+14,2.02E+13,NA,2006,12,2,113,80,2,2,131,7.1,41,17,2,64,50,3,132,13.7,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.929282,-87.225903,18.94457,237.524,NA,NA,#VALUE!,7.234200001,796.36499,490,245,452,124
1230,2.05E+14,9.08E+13,NA,2006,12,2,113,82,1,1,121,13.4,69,50,1,66,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.648773,-86.904419,19.32266,253.076,NA,NA,#VALUE!,7.936860085,638.43597,691,271,463,142
1231,2.05E+14,2.02E+13,NA,2006,12,2,113,89,1,1,121,15.3,74,55,1,69,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.964874,-87.077377,18.83518,237.524,NA,NA,#VALUE!,7.234200001,796.36499,583,283,755,194
1232,2.05E+14,2.02E+13,NA,2006,12,2,113,90,1,1,121,12.8,78,59,1,71,50,1,329,19.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.890172,-86.809217,18.79573,237.524,NA,NA,#VALUE!,7.234200001,796.36499,382,180,383,139
1233,2.05E+14,2.02E+13,NA,2006,12,2,113,90,2,1,121,12.8,78,59,1,71,50,1,329,19.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.890172,-86.809217,18.79573,237.524,NA,NA,#VALUE!,7.234200001,796.36499,382,180,383,139
1234,2.05E+14,2.02E+13,NA,2006,12,2,113,91,1,1,111,8.2,61,21,1,80,50,1,138,4.6,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.40165,-86.981923,19.55203,0,NA,NA,#VALUE!,0,0,1278,714,416,263
1235,2.05E+14,2.02E+13,NA,2006,12,2,113,94,1,1,111,8.4,64,22,1,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.864966,-87.271798,18.94457,237.524,NA,NA,#VALUE!,7.234200001,796.36499,800,343,542,153
1236,2.05E+14,2.02E+13,NA,2006,12,2,113,95,1,1,131,6.7,48,15,2,82,50,3,99,14.1,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7999,-87.163105,19.07967,237.524,NA,NA,#VALUE!,7.234200001,796.36499,816,269,649,179
1237,2.05E+14,2.02E+13,NA,2006,12,2,129,50,1,1,121,10.6,67,100,1,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.154975,-84.656987,19.72533,253.076,NA,NA,#VALUE!,7.936860085,638.43597,1131,465,728,239
1238,2.05E+14,2.02E+13,NA,2006,12,2,129,54,1,1,128,15.7,77,75,3,70,50,2,223,30.8,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.229592,-84.454946,19.62478,321.773,1.925,0.02,96.25,23.9673996,1898.18994,1287,425,611,173
1239,2.05E+14,2.02E+13,NA,2006,12,2,129,56,1,1,131,9.1,68,23,2,90,50,1,222,9.6,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.155747,-84.19248,19.84156,253.076,NA,NA,#VALUE!,16.89570045,1509.02002,1079,344,840,200
1240,2.05E+14,2.02E+13,NA,2006,12,2,129,59,1,1,131,12.5,74,75,2,66,50,3,164,2.9,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.093718,-84.531197,19.72533,253.076,NA,NA,#VALUE!,7.936860085,638.43597,1365,530,650,140
1241,2.05E+14,9.08E+13,NA,2006,12,2,129,60,1,1,111,10.6,56,21,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.157723,-84.33913,19.79576,321.773,NA,NA,#VALUE!,23.9673996,1898.18994,1188,506,610,161
1242,2.05E+14,9.08E+13,NA,2006,12,2,129,62,1,1,121,17.8,76,99,1,63,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.079048,-84.382591,19.79576,321.773,NA,NA,#VALUE!,23.9673996,1898.18994,1180,415,375,133
1243,2.05E+14,2.02E+13,NA,2006,12,2,131,82,1,1,107,7.9,34,13,3,96,50,1,332,28.9,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.507525,-86.100857,19.20346,253.076,0.88,0.006,146.6666667,7.936860085,638.43597,762,301,495,184
1244,2.05E+14,9.08E+13,NA,2006,12,2,131,85,1,1,131,11.8,79,20,2,112,50,1,25,19.9,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.668961,-86.179568,18.91134,253.076,NA,NA,#VALUE!,7.936860085,638.43597,560,335,577,145
1245,2.05E+14,9.08E+13,NA,2006,12,2,131,88,1,1,121,12,62,37,1,65,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.282407,-86.001122,19.54145,321.773,NA,NA,#VALUE!,23.9673996,1898.18994,963,560,451,341
1246,2.05E+14,9.08E+13,NA,2006,12,2,131,90,1,1,107,7.2,43,47,3,43,50,4,360,14.3,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.822096,-86.260919,18.91134,237.524,NA,NA,#VALUE!,7.234200001,796.36499,521,219,891,263
1247,2.05E+14,9.08E+13,NA,2006,12,2,131,91,1,1,111,7.7,52,15,1,81,50,3,332,13.2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.820813,-86.107709,18.95434,237.524,NA,NA,#VALUE!,7.234200001,796.36499,570,226,439,142
1248,2.05E+14,9.08E+13,NA,2006,12,2,131,95,1,1,131,17.4,84,45,2,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.760253,-86.186953,18.91134,237.524,NA,NA,#VALUE!,7.234200001,796.36499,565,268,780,164
1249,2.05E+14,9.08E+13,NA,2006,12,2,131,95,2,1,131,17.4,84,45,2,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.760253,-86.186953,18.91134,237.524,NA,NA,#VALUE!,7.234200001,796.36499,565,268,780,164
1250,2.05E+14,2.02E+13,NA,2006,12,2,131,98,1,1,107,10.8,59,50,3,57,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.57477,-86.359317,19.1684,253.076,NA,NA,#VALUE!,7.936860085,638.43597,445,218,396,174
1251,2.05E+14,9.08E+13,NA,2006,12,2,131,100,2,1,107,6,43,19,3,80,50,2,228,16.1,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.740299,-86.314043,18.91134,237.524,NA,NA,#VALUE!,7.936860085,638.43597,588,295,761,140
1252,2.05E+14,9.08E+13,NA,2006,12,2,131,101,1,1,121,9.4,51,30,1,58,50,1,261,14.1,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.939044,-86.101651,18.80516,237.524,NA,NA,#VALUE!,7.234200001,796.36499,365,111,538,183
1253,2.05E+14,9.08E+13,NA,2006,12,2,131,102,1,1,131,8.8,50,19,2,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.971335,-86.36901,18.72983,237.524,NA,NA,#VALUE!,7.234200001,796.36499,447,133,529,160
1254,2.05E+14,9.08E+13,NA,2006,12,2,131,103,1,1,121,15,91,52,1,86,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.970425,-86.197397,18.73005,237.524,NA,NA,#VALUE!,7.234200001,796.36499,407,106,408,165
1255,2.05E+14,2.02E+13,NA,2006,12,2,131,108,1,1,107,10.4,50,38,3,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.514364,-86.383988,19.1684,253.076,NA,NA,#VALUE!,7.936860085,638.43597,583,238,506,151
1256,2.05E+14,2.02E+13,NA,2006,12,2,131,108,2,1,107,10.4,50,38,3,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.514364,-86.383988,19.1684,253.076,NA,NA,#VALUE!,7.936860085,638.43597,583,238,506,151
1257,2.05E+14,9.08E+13,NA,2006,12,2,131,109,1,1,107,6.5,39,16,3,86,50,3,208,23.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.369304,-86.007173,19.45434,253.076,NA,NA,#VALUE!,7.936860085,638.43597,1458,931,549,173
1258,2.05E+14,2.02E+13,NA,2006,12,2,133,44,1,1,111,8.1,50,30,1,59,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.455709,-85.669483,19.36625,253.076,NA,NA,#VALUE!,7.936860085,638.43597,974,230,413,153
1259,2.05E+14,2.02E+13,NA,2006,12,2,133,45,1,1,121,13.4,54,52,1,51,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.680948,-85.736281,19.12623,237.524,NA,NA,#VALUE!,7.234200001,796.36499,736,206,546,149
1260,2.05E+14,9.08E+13,NA,2006,12,2,133,54,1,1,107,7.3,44,21,3,75,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.44521,-85.559322,19.38288,253.076,NA,NA,#VALUE!,7.936860085,638.43597,693,228,526,123
1261,2.05E+14,2.02E+13,NA,2006,12,2,133,55,1,1,111,11.3,41,18,1,62,50,2,35,22.2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.769589,-85.443516,19.0989,237.524,NA,NA,#VALUE!,7.234200001,796.36499,712,151,593,141
1262,2.05E+14,2.02E+13,NA,2006,12,2,133,55,2,1,111,11.3,41,18,1,62,50,2,35,22.2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.769589,-85.443516,19.0989,237.524,NA,NA,#VALUE!,7.234200001,796.36499,712,151,593,141
1263,2.05E+14,2.02E+13,NA,2006,12,2,133,56,1,1,827,10,73,26,28,99,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.607583,-85.650398,19.1778,237.524,NA,NA,#VALUE!,7.234200001,796.36499,381,193,384,134
1264,2.05E+14,2.02E+13,NA,2006,12,3,53,45,1,1,111,10.8,73,48,1,73,50,3,52,22,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.518155,-82.066395,21.60067,262.886,NA,NA,#VALUE!,8.796859741,558.97198,2135,1853,412,195
