field_1,CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS,LAT,LON,rvalue_1
"1851","238330664010854","153846984010854",NA,"2009","13","1","175","63","1","1","111",10.5,"63","22","1","81","50","1","118","21.7","1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.208573,-82.848682,18.4285526275635
"1859","238222402010854","153847004010854",NA,"2009","13","1","179","12","1","1","111",14,"104","46","1","104","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.922978,-81.458019,19.1037197113037
"1860","238222403010854","153847006010854",NA,"2009","13","1","179","56","1","1","111",11.2,"85","43","1","87","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.029464,-81.726358,18.8803234100342
"1897","238222453010854","153847189010854",NA,"2009","13","1","229","36","1","1","111",8,"69","21","1","88","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.246309,-82.175766,19.4327297210693
"1898","238222454010854","153847192010854",NA,"2009","13","1","229","14","1","1","111",9.2,"54","17","1","79","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.35037,-82.070888,19.3231468200684
"1926","238982270010854","56666022010478",NA,"1997","13","1","165","32","1","1","111",10.1,"77","39","1","81","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6345,-81.90423,18.3034896850586
"1929","238982273010854","56666533010478",NA,"1997","13","1","165","44","1","1","111",16.3,"87","38","1","91","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.924222,-81.792616,17.9391765594482
"1950","238982760010854","56963865010478",NA,"1997","13","1","267","15","1","1","111",12.2,"76","42","1","78","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.092669,-82.023649,18.8371562957764
"1959","238982775010854","56972570010478",NA,"1997","13","3","273","6","1","1","111",16.4,"88","37","1","93","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.636648,-84.31539,18.8184795379639
"2003","176838303020004","259082344010854",NA,"2012","13","2","201","16","1","1","111",11.2,"70","23","1","87","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.170144,-84.774697,18.9687919616699
"2011","176838910020004","259082363010854",NA,"2012","13","3","243","15","1","1","111",12.8,"75","25","1","90","50","4","341","16.6","1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.712551,-84.699952,18.3227386474609
"2029","176840242020004","259082389010854",NA,"2012","13","3","269","14","3","1","111",8,"55","27","1","67","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.513112,-84.283396,17.6260414123535
"2069","251131644489998","43265982020004",NA,"2013","13","1","5","27","1","1","111",9.9,"73","43","1","75","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.596048,-82.39084,19.1096038818359
"2070","251131923489998","43265988020004",NA,"2013","13","1","251","4","1","1","111",16.8,"91","56","1","88","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.763852,-81.610411,18.2564678192139
"2084","238884362010854","61067053010478",NA,"1998","13","1","271","49","1","1","111",12.2,"59","25","1","73","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.864148,-83.022867,18.6988544464111
"2085","238884363010854","61067124010478",NA,"1998","13","1","271","20","2","1","111",13,"68","34","1","75","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.064446,-83.004527,18.5346145629883
"2086","238884364010854","61067124010478",NA,"1998","13","1","271","20","2","2","111",13.2,"75","33","1","82","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.064446,-83.004527,18.5346145629883
"2087","238884365010854","61067554010478",NA,"1998","13","1","271","48","1","1","111",14.2,"89","51","1","87","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.902644,-82.820635,18.8209171295166
"2088","238884366010854","61067554010478",NA,"1998","13","1","271","48","1","2","111",16.2,"98","49","1","97","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.902644,-82.820635,18.8209171295166
"2089","238884367010854","61067806010478",NA,"1998","13","1","271","19","2","1","111",14.8,"87","39","1","91","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.912936,-83.090553,18.6988544464111
"2094","238982285010854","56668653010478",NA,"1997","13","1","167","11","1","1","111",13.4,"73","47","1","73","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.734161,-82.831169,17.9110622406006
"2095","238982286010854","56668653010478",NA,"1997","13","1","167","11","2","2","111",7.8,"45","16","1","70","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.734161,-82.831169,17.9110622406006
"2096","238982288010854","56669227010478",NA,"1997","13","1","167","29","2","1","111",15.2,"72","57","1","69","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.692226,-82.515526,17.9605731964111
"2097","238982289010854","56669341010478",NA,"1997","13","1","167","19","3","1","111",10.5,"70","31","1","79","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.776851,-82.479987,17.9975414276123
"2098","238982291010854","56669726010478",NA,"1997","13","1","167","20","1","1","111",10.6,"79","41","1","82","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.536281,-82.608818,18.1648445129395
"2101","238982297010854","56671564010478",NA,"1997","13","3","169","26","1","1","111",7.5,"56","20","1","76","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.86209,-83.48951,17.5678958892822
"2119","238982318010854","56674931010478",NA,"1997","13","2","173","24","1","1","111",14.3,"43","37","1","47","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.996255,-83.172658,19.3385620117188
"2120","238982320010854","56674960010478",NA,"1997","13","2","173","5","1","1","111",15,"86","64","1","81","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.975666,-83.117235,19.2518329620361
"2122","238982326010854","56675529010478",NA,"1997","13","2","173","14","1","1","111",11.9,"52","31","1","60","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.005443,-82.994738,19.1321353912354
"2123","238982327010854","56675673010478",NA,"1997","13","2","173","9","1","1","111",11.3,"66","17","1","92","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.10223,-82.988085,19.1321353912354
"2124","238982329010854","56675771010478",NA,"1997","13","2","173","10","1","1","111",9.1,"55","22","1","72","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.913535,-83.025715,19.2518329620361
"2125","238982330010854","56675896010478",NA,"1997","13","2","173","20","1","1","111",17.1,"82","52","1","80","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.984747,-83.035409,19.2518329620361
"2126","238982331010854","56676093010478",NA,"1997","13","2","173","6","1","1","111",7.8,"49","14","1","80","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.875094,-82.983097,19.2262496948242
"2127","238982335010854","56676649010478",NA,"1997","13","1","175","94","1","1","111",14.3,"85","38","1","89","50",NA,NA,NA,"1",NA,"1",NA,2010-08-17,"10854",NA,2017-03-07,"489998","7","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.473974,-83.07622,18.2701873779297
"2147","238440719010854","144538151010478",NA,"2008","13","3","79","19","1","1","111",11.1,"75","44","1","76","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.694349,-83.946859,17.5812702178955
"2160","238440732010854","144540191010478",NA,"2008","13","2","87","77","2","1","111",18,"77","37","1","82","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.826149,-84.724214,19.2319278717041
"2164","238440737010854","144540996010478",NA,"2008","13","1","91","47","1","1","111",16.5,"88","44","1","89","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.170963,-83.164503,18.402156829834
"2165","238440738010854","144541206010478",NA,"2008","13","1","91","28","1","1","111",14.5,"75","62","1","70","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.161847,-83.170897,18.5562076568604
"2166","238440739010854","144541396010478",NA,"2008","13","1","91","14","1","1","111",10.2,"60","21","1","79","50","1","62","18.9","1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.380423,-83.121673,18.2701873779297
"2168","238440742010854","144541755010478",NA,"2008","13","1","91","57","2","2","111",8.9,"50","28","1","60","50","3","93","48.3","1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.244335,-83.163507,18.402156829834
"2171","238440744010854","144542152010478",NA,"2008","13","1","91","56","1","1","111",11.1,"62","35","1","68","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.067551,-83.052473,18.5346145629883
"2172","238440745010854","144542220010478",NA,"2008","13","2","93","35","1","1","111",12.4,"84","31","1","93","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.068704,-83.810455,18.4609680175781
"2178","238440751010854","144542766010478",NA,"2008","13","3","95","39","1","1","111",11.9,"75","21","1","95","50","1","115","48.4","1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.518167,-84.316307,18.8184795379639
"2179","238440752010854","144542766010478",NA,"2008","13","3","95","39","2","1","111",11.9,"75","21","1","95","50","1","115","48.4","1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.518167,-84.316307,18.8184795379639
"2180","238440753010854","144542916010478",NA,"2008","13","3","95","12","1","1","111",10.7,"85","33","1","93","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.547711,-84.036167,18.8763751983643
"2182","238440755010854","144542957010478",NA,"2008","13","3","95","27","2","1","111",13.1,"66","21","1","85","50",NA,NA,NA,"1",NA,"1",NA,2010-08-19,"10854",NA,2017-03-07,"489998","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.462667,-84.017267,18.8911571502686
"2265","176834118020004","259082257010854",NA,"2012","13","3","61","9","1","1","111",10.3,"62","18","1","86","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.558394,-84.895773,18.4989585876465
"2290","251124414489998","43265823020004",NA,"2013","13","1","107","43","1","1","111",9,"60","31","1","68","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.603593,-82.426764,18.2211761474609
"2293","251124472489998","43265824020004",NA,"2013","13","1","167","19","3","2","111",11.8,"81","43","1","83","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.776851,-82.479987,17.9975414276123
"2298","176842761020004","259082448010854",NA,"2012","13","3","37","19","1","1","111",14.6,"73","34","1","80","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.493834,-84.485379,18.8824901580811
"2299","176842762020004","259082448010854",NA,"2012","13","3","37","19","2","1","111",14.6,"73","34","1","80","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.493834,-84.485379,18.8824901580811
"2300","176842801020004","259082450010854",NA,"2012","13","2","7","3","1","1","111",8.4,"61","19","1","83","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.415239,-84.543588,18.8692493438721
"2301","176842897020004","259082451010854",NA,"2012","13","2","7","41","1","1","111",16,"83","47","1","83","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.321083,-84.553965,19.0206050872803
"2302","176842898020004","259082451010854",NA,"2012","13","2","7","41","2","1","111",16,"83","47","1","83","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.321083,-84.553965,19.0206050872803
"2303","176843042020004","259082456010854",NA,"2012","13","2","87","31","1","1","111",11.2,"67","18","1","91","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.021537,-84.686054,19.163854598999
"2306","176843190020004","259082461010854",NA,"2012","13","2","253","26","1","1","111",9.8,"65","16","1","93","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.794512,-84.903836,19.3384799957275
"2307","176843233020004","259082462010854",NA,"2012","13","2","87","48","1","1","111",8.4,"61","15","1","91","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.73198,-84.771558,19.2319278717041
"2308","176843234020004","259082462010854",NA,"2012","13","2","87","48","2","1","111",8.4,"61","15","1","91","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.73198,-84.771558,19.2319278717041
"2326","176844909020004","259082491010854",NA,"2012","13","3","79","4","1","1","111",9.4,"41","22","1","56","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.657974,-84.060634,17.8614063262939
"2327","176844910020004","259082491010854",NA,"2012","13","3","79","4","2","1","111",9.4,"41","22","1","56","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.657974,-84.060634,17.8614063262939
"2348","176846478020004","259082522010854",NA,"2012","13","2","87","1","1","1","111",11.6,"71","22","1","89","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.826427,-84.43555,19.1126556396484
"2353","176847294020004","259082552010854",NA,"2012","13","2","205","13","1","1","111",16.2,"86","32","1","94","50",NA,NA,NA,"1",NA,"1",NA,2013-02-26,"20004",NA,2017-03-07,"489998","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.201054,-84.320135,19.0919589996338
"2393","253765581010854","236496159010854",NA,"2011","13","2","201","15","1","1","111",10.3,"57","13","1","92","50",NA,NA,NA,"1",NA,"1",NA,2011-01-06,"10854",NA,2017-03-07,"489998","10","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.237746,-84.624275,19.0206050872803
"2394","253765582010854","236496159010854",NA,"2011","13","2","201","15","2","1","111",10.3,"57","13","1","92","50",NA,NA,NA,"1",NA,"1",NA,2011-01-06,"10854",NA,2017-03-07,"489998","10","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.237746,-84.624275,19.0206050872803
"2399","251124645489998","43265828020004",NA,"2013","13","1","283","26","1","1","111",10.1,"55","17","1","80","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.384755,-82.5115,18.34153175354
"2401","251124852489998","43265830020004",NA,"2013","13","1","283","10","1","1","111",10.1,"62","17","1","88","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.448598,-82.689877,18.3651657104492
"2402","251124888489998","43265831020004",NA,"2013","13","1","283","23","1","1","111",9.5,"65","24","1","80","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.383196,-82.636437,18.34153175354
"2404","251125107489998","43265835020004",NA,"2013","13","1","107","10","1","1","111",11.7,"59","30","1","68","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.700915,-82.236198,18.0438232421875
"2405","251125108489998","43265835020004",NA,"2013","13","1","107","10","2","1","111",11.7,"59","30","1","68","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.700915,-82.236198,18.0438232421875
"2407","251125203489998","43265837020004",NA,"2013","13","1","107","81","1","1","111",11.7,"75","33","1","82","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.601948,-82.242669,18.230447769165
"2415","251125773489998","43265851020004",NA,"2013","13","1","279","47","1","1","111",11.3,"49","15","1","77","50","1","51","13","1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.97297,-82.363286,18.9010200500488
"2417","251126076489998","43265861020004",NA,"2013","13","1","267","103","1","1","111",10.6,"84","35","1","90","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.066456,-82.037007,18.8371562957764
"2420","251126260489998","43265867020004",NA,"2013","13","1","1","39","2","1","111",9.1,"55","16","1","82","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.776132,-82.222274,18.9602603912354
"2421","251126605489998","43265875020004",NA,"2013","13","1","109","15","1","1","111",11.4,"85","34","1","92","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.072769,-81.888789,18.8625946044922
"2425","251126831489998","43265880020004",NA,"2013","13","1","305","12","1","1","111",10.2,"62","17","1","88","50",NA,NA,NA,"1",NA,"1",NA,2014-05-06,"489998",NA,2017-03-07,"489998","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.757915,-82.031855,18.982593536377
