field_1,CN,PLT_CN,PREV_SIT_C,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,AZIMUTH,DIST,METHOD,SITREE_EST,VALIDCD,CREATED_BY,CREATED_DA,CREATED_IN,MODIFIED_B,MODIFIED_D,MODIFIED_I,CYCLE,SUBCYCLE,AGECHKCD_R,AGE_DETERM,CCLCD_RMRS,DAMAGE_AGE,SIBASE_AGE,SITETRCD_R,SITE_AGE_T,SITE_TREE_,SITREE_EQU,TREECLCD_R,TREE_ACT_R,YEAR_AGE_T,LAT,LON,TEMP,TOT_N,SOC,CN_RATIO,SOIL_MOIS
1163,-2147483648,-2147483648,NA,2006,12,2,39,46,2,1,131,6.9,46,17,2,72,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.688204,-84.726898,19.23193,9,19,2.111111111,237.524
1164,-2147483648,-2147483648,NA,2006,12,2,45,53,1,1,111,6.9,38,28,1,47,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.064243,-85.388407,19.73452,15,25,1.666666667,321.77301
1165,-2147483648,-2147483648,NA,2006,12,2,45,53,2,1,111,6.9,38,28,1,47,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.064243,-85.388407,19.73452,15,25,1.666666667,321.77301
1166,-2147483648,-2147483648,NA,2006,12,2,45,55,1,1,111,7,38,15,1,64,50,4,190,13.2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.767597,-85.192721,20.07682,63,111,1.761904762,321.77301
1167,-2147483648,-2147483648,NA,2006,12,2,45,56,3,1,111,12.8,72,20,1,93,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.988188,-85.243375,19.84678,12,16,1.333333333,321.77301
1168,-2147483648,-2147483648,NA,2006,12,2,45,57,1,1,111,8.8,67,22,1,85,50,1,289,9.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.914439,-85.180628,19.84678,25,12,0.48,321.77301
1169,-2147483648,-2147483648,NA,2006,12,2,45,60,1,1,131,14.2,39,19,2,57,50,1,115,15,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.99899,-85.134619,19.8979,6,10,1.666666667,321.77301
1170,-2147483648,-2147483648,NA,2006,12,2,45,61,1,1,111,8.3,44,16,1,69,50,1,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.886961,-85.298795,19.84678,55,53,0.963636364,0
1171,-2147483648,-2147483648,NA,2006,12,2,45,64,1,1,131,14.6,62,27,2,76,50,2,194,22.4,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.142665,-85.189993,19.69691,81,99,1.222222222,321.77301
1172,-2147483648,-2147483648,NA,2006,12,2,59,37,1,1,131,7.4,40,15,2,68,50,1,90,20.1,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.817077,-85.981956,19.11321,3,10,3.333333333,237.524
1173,-2147483648,-2147483648,NA,2006,12,2,59,131,1,1,111,12.6,63,17,1,89,50,2,175,22.6,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.987832,-85.904303,18.95274,5,8,1.6,262.88599
1174,-2147483648,-2147483648,NA,2006,12,2,63,61,1,1,111,6.7,48,15,1,76,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.872951,-85.128009,19.18301,6,7,1.166666667,262.88599
1175,-2147483648,-2147483648,NA,2006,12,2,63,66,1,1,111,14.2,67,42,1,69,50,4,275,8.2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.759418,-85.275504,19.18161,8,11,1.375,237.524
1176,-2147483648,-2147483648,NA,2006,12,2,63,66,2,2,131,9.5,51,16,2,83,50,3,359,21.4,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.759418,-85.275504,19.18161,8,11,1.375,237.524
1177,-2147483648,-2147483648,NA,2006,12,2,63,67,1,1,111,5.5,61,18,1,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.916706,-85.077134,19.18301,5,10,2,262.88599
1178,-2147483648,-2147483648,NA,2006,12,2,63,69,1,1,111,8.2,60,20,1,80,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.613066,-85.194045,19.20182,94,233,2.478723404,253.076
1179,-2147483648,-2147483648,NA,2006,12,2,63,75,1,1,131,16.7,97,34,2,108,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.691088,-85.01709,19.223,10,16,1.6,237.524
1180,-2147483648,-2147483648,NA,2006,12,2,63,75,2,1,131,16.7,97,34,2,108,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.691088,-85.01709,19.223,10,16,1.6,237.524
1181,-2147483648,-2147483648,NA,2006,12,2,63,76,1,1,111,6.8,42,17,1,65,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.628511,-85.055955,19.30009,4,13,3.25,237.524
1182,-2147483648,-2147483648,NA,2006,12,2,63,76,2,1,111,6.8,42,17,1,65,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.628511,-85.055955,19.30009,4,13,3.25,237.524
1183,-2147483648,-2147483648,NA,2006,12,2,65,47,2,1,111,8.5,55,20,1,75,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.250101,-84.060028,19.66502,52,41,0.788461538,253.076
1184,-2147483648,-2147483648,NA,2006,12,2,65,48,1,1,131,9.6,65,16,2,106,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.644958,-83.716317,19.43374,12,19,1.583333333,237.524
1185,-2147483648,-2147483648,NA,2006,12,2,65,53,1,1,111,8,52,15,1,81,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.305006,-84.001132,19.66502,15,30,2,253.076
1186,-2147483648,-2147483648,NA,2006,12,2,65,53,2,1,111,8,52,15,1,81,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.305006,-84.001132,19.66502,15,30,2,253.076
1187,-2147483648,-2147483648,NA,2006,12,2,65,56,1,1,131,11.2,77,24,2,99,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.638086,-83.873559,19.37488,9,12,1.333333333,237.524
1188,-2147483648,-2147483648,NA,2006,12,2,73,43,1,1,131,17.6,95,30,2,111,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.479217,-84.369104,19.53861,13,20,1.538461538,237.524
1189,-2147483648,-2147483648,NA,2006,12,2,73,45,1,1,111,9.8,44,32,1,51,50,2,1,2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.315404,-84.156473,19.66502,11,23,2.090909091,253.076
1190,-2147483648,-2147483648,NA,2006,12,2,73,45,2,1,111,9.8,44,32,1,51,50,2,1,2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.315404,-84.156473,19.66502,11,23,2.090909091,253.076
1191,-2147483648,-2147483648,NA,2006,12,2,73,47,1,1,111,7.7,50,24,1,64,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.314201,-84.561385,19.54474,90,88,0.977777778,253.076
1192,-2147483648,-2147483648,NA,2006,12,2,73,48,1,1,131,17.4,82,39,2,87,50,2,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.552514,-84.092871,19.36379,8,13,1.625,237.524
1193,-2147483648,-2147483648,NA,2006,12,2,73,51,1,1,131,12.8,71,20,2,101,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.54815,-84.359893,19.31238,9,16,1.777777778,237.524
1194,-2147483648,-2147483648,NA,2006,12,2,73,52,1,1,131,7.7,69,39,2,73,50,2,10,18.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.404753,-84.094518,19.51414,5,12,2.4,237.524
1195,-2147483648,-2147483648,NA,2006,12,2,73,52,2,1,131,7.7,69,39,2,73,50,2,10,18.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.404753,-84.094518,19.51414,5,12,2.4,237.524
1196,-2147483648,-2147483648,NA,2006,12,2,73,54,2,1,131,13.1,60,20,2,85,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.642824,-84.17285,19.41432,9,15,1.666666667,237.524
1197,-2147483648,-2147483648,NA,2006,12,2,73,55,1,1,131,9.4,64,24,2,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.496807,-84.230939,19.71185,9,11,1.222222222,237.524
1198,-2147483648,-2147483648,NA,2006,12,2,77,56,1,1,111,8.8,56,16,1,83,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.083746,-84.654174,19.72533,57,66,1.157894737,253.076
1199,-2147483648,-2147483648,NA,2006,12,2,77,59,2,1,111,7.2,55,61,1,51,50,4,233,2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.143739,-84.80621,19.67214,72,91,1.263888889,253.076
1200,-2147483648,-2147483648,NA,2006,12,2,77,62,1,1,111,8.3,62,27,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.386946,-84.71481,19.39444,44,41,0.931818182,253.076
1201,-2147483648,-2147483648,NA,2006,12,2,77,62,2,1,111,8.3,62,27,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.386946,-84.71481,19.39444,44,41,0.931818182,253.076
1202,-2147483648,-2147483648,NA,2006,12,2,77,64,1,1,111,8.3,55,21,1,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.056657,-84.988688,19.69373,6,13,2.166666667,321.77301
1203,-2147483648,-2147483648,NA,2006,12,2,77,64,2,1,111,8.3,55,21,1,73,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.056657,-84.988688,19.69373,6,13,2.166666667,321.77301
1204,-2147483648,-2147483648,NA,2006,12,2,77,65,1,1,131,7.6,47,16,2,77,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.479983,-84.809943,19.39444,66,69,1.045454545,237.524
1205,-2147483648,-2147483648,NA,2006,12,2,77,66,1,1,121,6.2,33,17,1,52,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.449702,-84.963732,19.36969,58,58,1,237.524
1206,-2147483648,-2147483648,NA,2006,12,2,77,68,1,1,121,13.1,80,66,1,71,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.146446,-85.083369,19.75617,6,13,2.166666667,237.524
1207,-2147483648,-2147483648,NA,2006,12,2,77,70,2,1,121,13.8,64,101,1,53,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.093735,-84.818183,19.67214,13,17,1.307692308,321.77301
1208,-2147483648,-2147483648,NA,2006,12,2,91,73,1,1,121,12.4,57,51,1,54,50,2,124,18.9,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.660213,-86.616082,19.19482,4,14,3.5,253.076
1209,-2147483648,-2147483648,NA,2006,12,2,91,74,1,1,121,10.1,57,30,1,65,50,2,106,20.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.827932,-86.398274,18.94182,11,33,3,237.524
1210,-2147483648,-2147483648,NA,2006,12,2,91,74,2,2,121,12.7,58,52,1,55,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.827932,-86.398274,18.94182,11,33,3,237.524
1211,-2147483648,-2147483648,NA,2006,12,2,91,74,3,2,121,12.7,58,52,1,55,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.827932,-86.398274,18.94182,11,33,3,237.524
1212,-2147483648,-2147483648,NA,2006,12,2,91,77,1,1,121,8,56,38,1,58,50,3,129,23.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.499431,-86.674514,19.56049,93,135,1.451612903,253.076
1213,-2147483648,-2147483648,NA,2006,12,2,91,80,1,1,121,15,55,54,1,51,50,1,352,9.8,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.820101,-86.580332,19.02168,2,8,4,237.524
1214,-2147483648,-2147483648,NA,2006,12,2,91,81,2,1,111,9.5,72,38,1,76,50,2,276,11.2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.821702,-86.707583,18.99092,7,17,2.428571429,237.524
1215,-2147483648,-2147483648,NA,2006,12,2,91,83,1,2,121,9.7,49,41,1,50,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.514458,-86.515664,19.19482,30,13,0.433333333,253.076
1216,-2147483648,-2147483648,NA,2006,12,2,91,83,2,1,107,7.7,41,26,3,58,50,4,43,12.1,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.514458,-86.515664,19.19482,30,13,0.433333333,253.076
1217,-2147483648,-2147483648,NA,2006,12,2,91,85,1,1,121,12.6,93,52,1,88,50,3,11,16,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.979559,-86.657691,18.78581,5,14,2.8,237.524
1218,-2147483648,-2147483648,NA,2006,12,2,91,87,1,1,121,9.8,55,66,1,49,50,1,216,15.3,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.58127,-86.494207,19.1684,15,12,0.8,253.076
1219,-2147483648,-2147483648,NA,2006,12,2,91,87,2,1,121,9.8,55,66,1,49,50,1,216,15.3,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.58127,-86.494207,19.1684,15,12,0.8,253.076
1220,-2147483648,-2147483648,NA,2006,12,2,91,88,1,1,131,14.9,85,37,2,92,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.967221,-86.510428,18.78581,5,10,2,237.524
1221,-2147483648,-2147483648,NA,2006,12,2,91,92,1,1,121,15.7,79,54,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.910946,-86.665851,18.78581,1,9,9,237.524
1222,-2147483648,-2147483648,NA,2006,12,2,113,72,1,1,121,15.7,82,58,1,75,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.945337,-86.956497,18.78608,6,12,2,237.524
1223,-2147483648,-2147483648,NA,2006,12,2,113,73,1,1,121,10.1,52,50,1,50,50,2,171,21.3,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.511252,-86.809546,19.36376,15,18,1.2,253.076
1224,-2147483648,-2147483648,NA,2006,12,2,113,75,1,1,131,7.1,46,13,2,87,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.718927,-87.142887,19.07967,6,12,2,253.076
1225,-2147483648,-2147483648,NA,2006,12,2,113,76,1,1,121,10.1,59,39,1,61,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.809434,-86.868554,19.04012,6,15,2.5,237.524
1226,-2147483648,-2147483648,NA,2006,12,2,113,77,1,1,121,17.1,85,63,1,77,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.864893,-86.946932,18.78608,7,12,1.714285714,237.524
1227,-2147483648,-2147483648,NA,2006,12,2,113,79,1,1,121,16.6,85,75,1,74,50,4,303,11.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.965967,-86.808324,18.79573,5,14,2.8,237.524
1228,-2147483648,-2147483648,NA,2006,12,2,113,80,1,1,131,7.9,65,43,2,67,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.929282,-87.225903,18.94457,6,10,1.666666667,237.524
1229,-2147483648,-2147483648,NA,2006,12,2,113,80,2,2,131,7.1,41,17,2,64,50,3,132,13.7,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.929282,-87.225903,18.94457,6,10,1.666666667,237.524
1230,-2147483648,-2147483648,NA,2006,12,2,113,82,1,1,121,13.4,69,50,1,66,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.648773,-86.904419,19.32266,7,27,3.857142857,253.076
1231,-2147483648,-2147483648,NA,2006,12,2,113,89,1,1,121,15.3,74,55,1,69,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.964874,-87.077377,18.83518,7,11,1.571428571,237.524
1232,-2147483648,-2147483648,NA,2006,12,2,113,90,1,1,121,12.8,78,59,1,71,50,1,329,19.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.890172,-86.809217,18.79573,5,11,2.2,237.524
1233,-2147483648,-2147483648,NA,2006,12,2,113,90,2,1,121,12.8,78,59,1,71,50,1,329,19.5,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.890172,-86.809217,18.79573,5,11,2.2,237.524
1234,-2147483648,-2147483648,NA,2006,12,2,113,91,1,1,111,8.2,61,21,1,80,50,1,138,4.6,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.40165,-86.981923,19.55203,30,22,0.733333333,0
1235,-2147483648,-2147483648,NA,2006,12,2,113,94,1,1,111,8.4,64,22,1,82,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.864966,-87.271798,18.94457,8,11,1.375,237.524
1236,-2147483648,-2147483648,NA,2006,12,2,113,95,1,1,131,6.7,48,15,2,82,50,3,99,14.1,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7999,-87.163105,19.07967,8,17,2.125,237.524
1237,-2147483648,-2147483648,NA,2006,12,2,129,50,1,1,121,10.6,67,100,1,56,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.154975,-84.656987,19.72533,54,79,1.462962963,253.076
1238,-2147483648,-2147483648,NA,2006,12,2,129,54,1,1,128,15.7,77,75,3,70,50,2,223,30.8,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.229592,-84.454946,19.62478,11,19,1.727272727,321.77301
1239,-2147483648,-2147483648,NA,2006,12,2,129,56,1,1,131,9.1,68,23,2,90,50,1,222,9.6,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.155747,-84.19248,19.84156,48,25,0.520833333,253.076
1240,-2147483648,-2147483648,NA,2006,12,2,129,59,1,1,131,12.5,74,75,2,66,50,3,164,2.9,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.093718,-84.531197,19.72533,17,22,1.294117647,253.076
1241,-2147483648,-2147483648,NA,2006,12,2,129,60,1,1,111,10.6,56,21,1,74,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.157723,-84.33913,19.79576,24,12,0.5,321.77301
1242,-2147483648,-2147483648,NA,2006,12,2,129,62,1,1,121,17.8,76,99,1,63,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.079048,-84.382591,19.79576,19,12,0.631578947,321.77301
1243,-2147483648,-2147483648,NA,2006,12,2,131,82,1,1,107,7.9,34,13,3,96,50,1,332,28.9,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.507525,-86.100857,19.20346,8,16,2,253.076
1244,-2147483648,-2147483648,NA,2006,12,2,131,85,1,1,131,11.8,79,20,2,112,50,1,25,19.9,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.668961,-86.179568,18.91134,5,11,2.2,253.076
1245,-2147483648,-2147483648,NA,2006,12,2,131,88,1,1,121,12,62,37,1,65,50,NA,NA,NA,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.282407,-86.001122,19.54145,20,11,0.55,321.77301
1246,-2147483648,-2147483648,NA,2006,12,2,131,90,1,1,107,7.2,43,47,3,43,50,4,360,14.3,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.822096,-86.260919,18.91134,9,16,1.777777778,237.524
1247,-2147483648,-2147483648,NA,2006,12,2,131,91,1,1,111,7.7,52,15,1,81,50,3,332,13.2,1,NA,1,NA,12/7/2009,10854,NA,3/8/2017,489998,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.820813,-86.107709,18.95434,7,12,1.714285714,237.524
